Contract_No,flag_normalised,upcoming_pdi_type,pdi_contracts_status,run_date
410170,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
413205,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
413244,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
417691,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
422332,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
434677,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
437613,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
440786,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
101156,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
350686,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
364516,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
374871,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
380701,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
400639,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
407941,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
411056,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
412162,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
418388,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
420200,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
422467,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
432116,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
432215,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
432321,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
435368,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
441526,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
444027,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
308774,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
335113,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
347958,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
368239,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
372632,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
391126,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
391587,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
396206,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
406660,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
410559,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
414629,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
422568,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
428724,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
429420,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
430832,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
439326,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
444297,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
310110,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
354764,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
357095,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
361806,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
365053,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
366605,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
370706,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
377937,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
390271,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
390802,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
393683,normalised_in_last_3_months,null_pdi,PDI_not_Available,2019-09-03
401033,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
409583,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
423615,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
423884,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
425268,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
429107,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
433555,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
312733,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
326938,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
352260,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
364610,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
373381,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
375145,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
377644,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
390435,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
391756,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
398116,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
404221,normalised_4_6_months_ago,null_pdi,PDI_not_Available,2019-09-03
421416,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
438832,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
442870,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
443800,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
334596,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
337068,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
337865,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
346335,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
353654,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
354712,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
368861,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
372837,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
373243,normalised_in_last_3_months,"",PDI_Available_but_RO,2019-09-03
375514,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
382187,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
386493,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
389680,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
401199,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
405799,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
420747,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
432103,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
434592,normalised_7_9_months_ago,"",PDI_Available_but_RO,2019-09-03
437905,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
440303,normalised_7_9_months_ago,null_pdi,PDI_not_Available,2019-09-03
441397,normalised_4_6_months_ago,"",PDI_Available_but_RO,2019-09-03
441823,First_time_inflow,null_pdi,PDI_not_Available,2019-09-03
355471,First_time_inflow,"",PDI_Available_but_RO,2019-09-03
